Date,Open,High,Low,Close,Volume
"Apr 4, 2025",193.89,199.88,187.34,188.38,125569000
"Apr 3, 2025",205.54,207.49,201.25,203.19,103419000
"Apr 2, 2025",221.32,225.19,221.02,223.89,35905900
"Apr 1, 2025",219.81,223.68,218.9,223.19,36412700
"Mar 31, 2025",217.01,225.62,216.23,222.13,65299300
"Mar 28, 2025",221.67,223.81,217.68,217.9,39818600
"Mar 27, 2025",221.39,224.99,220.56,223.85,37094800
"Mar 26, 2025",223.51,225.02,220.47,221.53,34466100
"Mar 25, 2025",220.77,224.1,220.08,223.75,34493600
"Mar 24, 2025",221.0,221.48,218.58,220.73,44299500
"Mar 21, 2025",211.56,218.84,211.28,218.27,94127800
"Mar 20, 2025",213.99,217.49,212.22,214.1,48862900
"Mar 19, 2025",214.22,218.76,213.75,215.24,54385400
"Mar 18, 2025",214.16,215.15,211.49,212.69,42432400
"Mar 17, 2025",213.31,215.22,209.97,214.0,48073400
"Mar 14, 2025",211.25,213.95,209.58,213.49,60107600
"Mar 13, 2025",215.95,216.84,208.42,209.68,61368300
"Mar 12, 2025",220.14,221.75,214.91,216.98,62547500
"Mar 11, 2025",223.81,225.84,217.45,220.84,76137400
"Mar 10, 2025",235.54,236.16,224.22,227.48,72071200
"Mar 7, 2025",235.11,241.37,234.76,239.07,46273600
"Mar 6, 2025",234.44,237.86,233.16,235.33,45170400
"Mar 5, 2025",235.42,236.55,229.23,235.74,47227600
"Mar 4, 2025",237.71,240.07,234.68,235.93,53798100
"Mar 3, 2025",241.79,244.03,236.11,238.03,47184000
"Feb 28, 2025",236.95,242.09,230.2,241.84,56833400
"Feb 27, 2025",239.41,242.46,237.06,237.3,41153600
"Feb 26, 2025",244.33,244.98,239.13,240.36,44433600
"Feb 25, 2025",248.0,250.0,244.91,247.04,48013300
"Feb 24, 2025",244.93,248.86,244.42,247.1,51326400
"Feb 21, 2025",245.95,248.69,245.22,245.55,53197400
"Feb 20, 2025",244.94,246.78,244.29,245.83,32316900
"Feb 19, 2025",244.66,246.01,243.16,244.87,32204200
"Feb 18, 2025",244.15,245.18,241.84,244.47,48822500
"Feb 14, 2025",241.25,245.55,240.99,244.6,40896200
"Feb 13, 2025",236.91,242.34,235.57,241.53,53614100
"Feb 12, 2025",231.2,236.96,230.68,236.87,45243300
"Feb 11, 2025",228.2,235.23,228.13,232.62,53718400
"Feb 10, 2025",229.57,230.59,227.2,227.65,33115600
"Feb 7, 2025",232.6,234.0,227.26,227.63,39707200
"Feb 6, 2025",231.29,233.8,230.43,233.22,29925300
"Feb 5, 2025",228.53,232.67,228.27,232.47,39620300
"Feb 4, 2025",227.25,233.13,226.65,232.8,45067300
"Feb 3, 2025",229.99,231.83,225.7,228.01,73063300
"Jan 31, 2025",247.19,247.19,233.44,236.0,101075100
"Jan 30, 2025",238.67,240.79,237.21,237.59,55658300
"Jan 29, 2025",234.12,239.86,234.01,239.36,45486100
"Jan 28, 2025",230.85,240.19,230.81,238.26,75707600
"Jan 27, 2025",224.02,232.15,223.98,229.86,94863400
"Jan 24, 2025",224.78,225.63,221.41,222.78,54697900
"Jan 23, 2025",224.74,227.03,222.3,223.66,60234800
"Jan 22, 2025",219.79,224.12,219.79,223.83,64126500
"Jan 21, 2025",224.0,224.42,219.38,222.64,98070400
"Jan 17, 2025",232.12,232.29,228.48,229.98,68488300
"Jan 16, 2025",237.35,238.01,228.03,228.26,71759100
"Jan 15, 2025",234.64,238.96,234.43,237.87,39832000
"Jan 14, 2025",234.75,236.12,232.47,233.28,39435300
"Jan 13, 2025",233.53,234.67,229.72,234.4,49630700
"Jan 10, 2025",240.01,240.16,233.0,236.85,61710900
"Jan 8, 2025",241.92,243.71,240.05,242.7,37628900
"Jan 7, 2025",242.98,245.55,241.35,242.21,40856000
"Jan 6, 2025",244.31,247.33,243.2,245.0,45045600
"Jan 3, 2025",243.36,244.18,241.89,243.36,40244100
"Jan 2, 2025",248.93,249.1,241.82,243.85,55740700
"Dec 31, 2024",252.44,253.28,249.43,250.42,39480700
"Dec 30, 2024",252.23,253.5,250.75,252.2,35557500
"Dec 27, 2024",257.83,258.7,253.06,255.59,42355300
"Dec 26, 2024",258.19,260.1,257.63,259.02,27237100
"Dec 24, 2024",255.49,258.21,255.29,258.2,23234700
"Dec 23, 2024",254.77,255.65,253.45,255.27,40858800
"Dec 20, 2024",248.04,255.0,245.69,254.49,147495300
"Dec 19, 2024",247.5,252.0,247.09,249.79,60882300
"Dec 18, 2024",252.16,254.28,247.74,248.05,56774100
"Dec 17, 2024",250.08,253.83,249.78,253.48,51356400
"Dec 16, 2024",247.99,251.38,247.65,251.04,51694800
"Dec 13, 2024",247.82,249.29,246.24,248.13,33155300
"Dec 12, 2024",246.89,248.74,245.68,247.96,32777500
"Dec 11, 2024",247.96,250.8,246.26,246.49,45205800
"Dec 10, 2024",246.89,248.21,245.34,247.77,36914800
"Dec 9, 2024",241.83,247.24,241.75,246.75,44649200
"Dec 6, 2024",242.91,244.63,242.08,242.84,36870600
"Dec 5, 2024",243.99,244.54,242.13,243.04,40033900
"Dec 4, 2024",242.87,244.11,241.25,243.01,44383900
"Dec 3, 2024",239.81,242.76,238.9,242.65,38861000
"Dec 2, 2024",237.27,240.79,237.16,239.59,48137100
"Nov 29, 2024",234.81,237.81,233.97,237.33,28481400
"Nov 27, 2024",234.47,235.69,233.81,234.93,33498400
"Nov 26, 2024",233.33,235.57,233.33,235.06,45986200
"Nov 25, 2024",231.46,233.25,229.74,232.87,90152800
"Nov 22, 2024",228.06,230.72,228.06,229.87,38168300
"Nov 21, 2024",228.88,230.16,225.71,228.52,42108300
"Nov 20, 2024",228.06,229.93,225.89,229.0,35169600
"Nov 19, 2024",226.98,230.16,226.66,228.28,36211800
"Nov 18, 2024",225.25,229.74,225.17,228.02,44686000
"Nov 15, 2024",226.4,226.92,224.27,225.0,47923700
"Nov 14, 2024",225.02,228.87,225.0,228.22,44923900
"Nov 13, 2024",224.01,226.65,222.76,225.12,48566200
"Nov 12, 2024",224.55,225.59,223.36,224.23,40398300
"Nov 11, 2024",225.0,225.7,221.5,224.23,42005600
"Nov 8, 2024",227.17,228.66,226.41,226.96,38328800
"Nov 7, 2024",224.63,227.88,224.57,227.48,42137700
"Nov 6, 2024",222.61,226.07,221.19,222.72,54561100
"Nov 5, 2024",221.8,223.95,221.14,223.45,28111300
"Nov 4, 2024",220.99,222.79,219.71,222.01,44944500
"Nov 1, 2024",220.97,225.35,220.27,222.91,65276700
"Oct 31, 2024",229.34,229.83,225.37,225.91,64370100
"Oct 30, 2024",232.61,233.47,229.55,230.1,47070900
"Oct 29, 2024",233.1,234.33,232.32,233.67,35417200
"Oct 28, 2024",233.32,234.73,232.55,233.4,36087100
"Oct 25, 2024",229.74,233.22,229.57,231.41,38802300
"Oct 24, 2024",229.98,230.82,228.41,230.57,31109500
"Oct 23, 2024",234.08,235.14,227.76,230.76,52287000
"Oct 22, 2024",233.89,236.22,232.6,235.86,38846600
"Oct 21, 2024",234.45,236.85,234.45,236.48,36254500
"Oct 18, 2024",236.18,236.18,234.01,235.0,46431500
"Oct 17, 2024",233.43,233.85,230.52,232.15,32993800
"Oct 16, 2024",231.6,232.12,229.84,231.78,34082200
"Oct 15, 2024",233.61,237.49,232.37,233.85,64751400
"Oct 14, 2024",228.7,231.73,228.6,231.3,39882100
"Oct 11, 2024",229.3,229.41,227.34,227.55,31759200
"Oct 10, 2024",227.78,229.5,227.17,229.04,28183500
"Oct 9, 2024",225.23,229.75,224.83,229.54,33591100
"Oct 8, 2024",224.3,225.98,223.25,225.77,31855700
"Oct 7, 2024",224.5,225.69,221.33,221.69,39505400
"Oct 4, 2024",227.9,228.0,224.13,226.8,37245100
"Oct 3, 2024",225.14,226.81,223.32,225.67,34044200
"Oct 2, 2024",225.89,227.37,223.02,226.78,32880600
"Oct 1, 2024",229.52,229.65,223.74,226.21,63285000
"Sep 30, 2024",230.04,233.0,229.65,233.0,54541900
"Sep 27, 2024",228.46,229.52,227.3,227.79,34026000
"Sep 26, 2024",227.3,228.5,225.41,227.52,36636700
"Sep 25, 2024",224.93,227.29,224.02,226.37,42308700
"Sep 24, 2024",228.65,229.35,225.73,227.37,43556100
"Sep 23, 2024",227.34,229.45,225.81,226.47,54146000
"Sep 20, 2024",229.97,233.09,227.62,228.2,318679900
"Sep 19, 2024",224.99,229.82,224.63,228.87,66781300
"Sep 18, 2024",217.55,222.71,217.54,220.69,59894900
"Sep 17, 2024",215.75,216.9,214.5,216.79,45519300
"Sep 16, 2024",216.54,217.22,213.92,216.32,59357400
"Sep 13, 2024",223.58,224.04,221.91,222.5,36766600
"Sep 12, 2024",222.5,223.55,219.82,222.77,37498200
"Sep 11, 2024",221.46,223.09,217.89,222.66,44587100
"Sep 10, 2024",218.92,221.48,216.73,220.11,51591000
"Sep 9, 2024",220.82,221.27,216.71,220.91,67180000
"Sep 6, 2024",223.95,225.24,219.77,220.82,48423000
"Sep 5, 2024",221.63,225.48,221.52,222.38,36615400
"Sep 4, 2024",221.66,221.78,217.48,220.85,43840200
"Sep 3, 2024",228.55,229.0,221.17,222.77,50190600
"Aug 30, 2024",230.19,230.4,227.48,229.0,52990800
"Aug 29, 2024",230.1,232.92,228.88,229.79,51906300
"Aug 28, 2024",227.92,229.86,225.68,226.49,38052200
"Aug 27, 2024",226.0,228.85,224.89,228.03,35934600
"Aug 26, 2024",226.76,227.28,223.89,227.18,30602200
"Aug 23, 2024",225.66,228.22,224.33,226.84,38677300
"Aug 22, 2024",227.79,228.34,223.9,224.53,43695300
"Aug 21, 2024",226.52,227.98,225.05,226.4,34765500
"Aug 20, 2024",225.77,227.17,225.45,226.51,30299000
"Aug 19, 2024",225.72,225.99,223.04,225.89,40687800
"Aug 16, 2024",223.92,226.83,223.65,226.05,44340200
"Aug 15, 2024",224.6,225.35,222.76,224.72,46414000
"Aug 14, 2024",220.57,223.03,219.7,221.72,41960600
"Aug 13, 2024",219.01,221.89,219.01,221.27,44155300
"Aug 12, 2024",216.07,219.51,215.6,217.53,38028100
"Aug 9, 2024",212.1,216.78,211.97,216.24,42201600
"Aug 8, 2024",213.11,214.2,208.83,213.31,47161100
"Aug 7, 2024",206.9,213.64,206.39,209.82,63516400
"Aug 6, 2024",205.3,209.99,201.07,207.23,69660500
"Aug 5, 2024",199.09,213.5,196.0,209.27,119548600
"Aug 2, 2024",219.15,225.6,217.71,219.86,105568600
"Aug 1, 2024",224.37,224.48,217.02,218.36,62501000
"Jul 31, 2024",221.44,223.82,220.63,222.08,50036300
"Jul 30, 2024",219.19,220.33,216.12,218.8,41643800
"Jul 29, 2024",216.96,219.3,215.75,218.24,36311800
"Jul 26, 2024",218.7,219.49,216.01,217.96,41601300
"Jul 25, 2024",218.93,220.85,214.62,217.49,51391200
"Jul 24, 2024",224.0,224.8,217.13,218.54,61777600
"Jul 23, 2024",224.37,226.94,222.68,225.01,39960300
"Jul 22, 2024",227.01,227.78,223.09,223.96,48201800
"Jul 19, 2024",224.82,226.8,223.28,224.31,49151500
"Jul 18, 2024",230.28,230.44,222.27,224.18,66034600
"Jul 17, 2024",229.45,231.46,226.64,228.88,57345900
"Jul 16, 2024",235.0,236.27,232.33,234.82,43234300
"Jul 15, 2024",236.48,237.23,233.09,234.4,62631300
"Jul 12, 2024",228.92,232.64,228.68,230.54,53046500
"Jul 11, 2024",231.39,232.39,225.77,227.57,64710600
"Jul 10, 2024",229.3,233.08,229.25,232.98,62627700
"Jul 9, 2024",227.93,229.4,226.37,228.68,48076100
"Jul 8, 2024",227.09,227.85,223.25,227.82,59085900
"Jul 5, 2024",221.65,226.45,221.65,226.34,60412400
"Jul 3, 2024",220.0,221.55,219.03,221.55,37369800
"Jul 2, 2024",216.15,220.38,215.1,220.27,58046200
"Jul 1, 2024",212.09,217.51,211.92,216.75,60402900
"Jun 28, 2024",215.77,216.07,210.3,210.62,82542700
"Jun 27, 2024",214.69,215.74,212.35,214.1,49772700
"Jun 26, 2024",211.5,214.86,210.64,213.25,66213200
"Jun 25, 2024",209.15,211.38,208.61,209.07,56713900
"Jun 24, 2024",207.72,212.7,206.59,208.14,80727000
"Jun 21, 2024",210.39,211.89,207.11,207.49,246421400
"Jun 20, 2024",213.93,214.24,208.85,209.68,86172500
"Jun 18, 2024",217.59,218.63,213.0,214.29,79943300
"Jun 17, 2024",213.37,218.95,212.72,216.67,93728300
"Jun 14, 2024",213.85,215.17,211.3,212.49,70122700
"Jun 13, 2024",214.74,216.75,211.6,214.24,97862700
"Jun 12, 2024",207.37,220.2,206.9,213.07,198134300
"Jun 11, 2024",193.65,207.16,193.63,207.15,172373300
"Jun 10, 2024",196.9,197.3,192.15,193.12,97262100
"Jun 7, 2024",194.65,196.94,194.14,196.89,53103900
"Jun 6, 2024",195.69,196.5,194.17,194.48,41181800
"Jun 5, 2024",195.4,196.9,194.87,195.87,54156800
"Jun 4, 2024",194.64,195.32,193.03,194.35,47471400
"Jun 3, 2024",192.9,194.99,192.52,194.03,50080500
"May 31, 2024",191.44,192.57,189.91,192.25,75158300
"May 30, 2024",190.76,192.18,190.63,191.29,49947900
"May 29, 2024",189.61,192.25,189.51,190.29,53068000
"May 28, 2024",191.51,193.0,189.1,189.99,52280100
"May 24, 2024",188.82,190.58,188.04,189.98,36294600
"May 23, 2024",190.98,191.0,186.63,186.88,51005900
"May 22, 2024",192.27,192.82,190.27,190.9,34648500
"May 21, 2024",191.09,192.73,190.92,192.35,42309400
"May 20, 2024",189.33,191.92,189.01,191.04,44361300
"May 17, 2024",189.51,190.81,189.18,189.87,41282900
"May 16, 2024",190.47,191.1,189.66,189.84,52845200
"May 15, 2024",187.91,190.65,187.37,189.72,70400000
"May 14, 2024",187.51,188.3,186.29,187.43,52393600
"May 13, 2024",185.44,187.1,184.62,186.28,72044800
"May 10, 2024",184.9,185.09,182.13,183.05,50759500
"May 9, 2024",182.56,184.66,182.11,184.57,48983000
"May 8, 2024",182.85,183.07,181.45,182.74,45057100
"May 7, 2024",183.45,184.9,181.32,182.4,77305800
"May 6, 2024",182.35,184.2,180.42,181.71,78569700
"May 3, 2024",186.65,187.0,182.66,183.38,163224100
"May 2, 2024",172.51,173.42,170.89,173.03,94214900
"May 1, 2024",169.58,172.71,169.11,169.3,50383100
"Apr 30, 2024",173.33,174.99,170.0,170.33,65934800
"Apr 29, 2024",173.37,176.03,173.1,173.5,68169400
"Apr 26, 2024",169.88,171.34,169.18,169.3,44838400
"Apr 25, 2024",169.53,170.61,168.15,169.89,50558300
"Apr 24, 2024",166.54,169.3,166.21,169.02,48251800
"Apr 23, 2024",165.35,167.05,164.92,166.9,49537800
"Apr 22, 2024",165.52,167.26,164.77,165.84,48116400
"Apr 19, 2024",166.21,166.4,164.08,165.0,67772100
"Apr 18, 2024",168.03,168.64,166.55,167.04,43122900
"Apr 17, 2024",169.61,170.65,168.0,168.0,50901200
"Apr 16, 2024",171.75,173.76,168.27,169.38,73711200
"Apr 15, 2024",175.36,176.63,172.5,172.69,73531800
"Apr 12, 2024",174.26,178.36,174.21,176.55,101593300
"Apr 11, 2024",168.34,175.46,168.16,175.04,91070300
"Apr 10, 2024",168.8,169.09,167.11,167.78,49709300
"Apr 9, 2024",168.7,170.08,168.35,169.67,42451200
"Apr 8, 2024",169.03,169.2,168.24,168.45,37425500
"Apr 5, 2024",169.59,170.39,168.95,169.58,42055200
"Apr 4, 2024",170.29,171.92,168.82,168.82,53704400
"Apr 3, 2024",168.79,170.68,168.58,169.65,47691700
"Apr 2, 2024",169.08,169.34,168.23,168.84,49329500
"Apr 1, 2024",171.19,171.25,169.48,170.03,46240500
"Mar 28, 2024",171.75,172.23,170.51,171.48,65672700
"Mar 27, 2024",170.41,173.6,170.11,173.31,60273300
"Mar 26, 2024",170.0,171.42,169.58,169.71,57388400
"Mar 25, 2024",170.57,171.94,169.45,170.85,54288300
"Mar 22, 2024",171.76,173.05,170.06,172.28,71106600
"Mar 21, 2024",177.05,177.49,170.84,171.37,106181300
"Mar 20, 2024",175.72,178.67,175.09,178.67,53423100
"Mar 19, 2024",174.34,176.61,173.03,176.08,55215200
"Mar 18, 2024",175.57,177.71,173.52,173.72,75604200
"Mar 15, 2024",171.17,172.62,170.29,172.62,121664700
"Mar 14, 2024",172.91,174.31,172.05,173.0,72913500
"Mar 13, 2024",172.77,173.19,170.76,171.13,52488700
"Mar 12, 2024",173.15,174.03,171.01,173.23,59825400
"Mar 11, 2024",172.94,174.38,172.05,172.75,60139500
"Mar 8, 2024",169.0,173.7,168.94,170.73,76114600
"Mar 7, 2024",169.15,170.73,168.49,169.0,71765100
"Mar 6, 2024",171.06,171.24,168.68,169.12,68587700
"Mar 5, 2024",170.76,172.04,169.62,170.12,95132400
"Mar 4, 2024",176.15,176.9,173.79,175.1,81510100
"Mar 1, 2024",179.55,180.53,177.38,179.66,73488000
"Feb 29, 2024",181.27,182.57,179.53,180.75,136682600
"Feb 28, 2024",182.51,183.12,180.13,181.42,48953900
"Feb 27, 2024",181.1,183.92,179.56,182.63,54318900
"Feb 26, 2024",182.24,182.76,180.65,181.16,40867400
"Feb 23, 2024",185.01,185.04,182.23,182.52,45119700
"Feb 22, 2024",183.48,184.96,182.46,184.37,52292200
"Feb 21, 2024",181.94,182.89,180.66,182.32,41529700
"Feb 20, 2024",181.79,182.43,180.0,181.56,53665600
"Feb 16, 2024",183.42,184.85,181.67,182.31,49701400
"Feb 15, 2024",183.55,184.49,181.35,183.86,65434500
"Feb 14, 2024",185.32,185.53,182.44,184.15,54630500
"Feb 13, 2024",185.77,186.21,183.51,185.04,56529500
"Feb 12, 2024",188.42,188.67,186.79,187.15,41781900
"Feb 9, 2024",188.65,189.99,188.0,188.85,45155200
"Feb 8, 2024",189.39,189.54,187.35,188.32,40962000
"Feb 7, 2024",190.64,191.05,188.61,189.41,53439000
